cluster,ScType,scores,ncells
0,Immune system cells,465.273695870709,845
1,Unknown,81.2715957941121,688
2,Mesenchymal stem cell,225.19442312929,639
3,Unknown,99.0072003329411,531
4,Endothelial cell,2851.89525372781,469
5,Monocytes,387.971934502859,369
6,Monocytes,673.163127334723,307
7,Kupffer cells,1666.90319438483,296
8,Hepatic stellate cells,1778.99619238923,295
9,Kupffer cells,964.718549269032,205
10,Immune system cells,160.334066771408,192
11,Cholangiocytes,2105.66617956868,119
12,Mast cells,47.4739715972736,68
13,Kupffer cells,41.7232085175574,52
14,Kupffer cells,663.243991633176,51
15,Kupffer cells,62.3687790389967,38
16,Hepatic stellate cells,776.072001179878,35
17,Mast cells,211.20164223675,24
18,Hepatocytes,749.366321586042,23
